lac_code,rbs_mean,rbs_std,deg_mean,deg_std
10,1,0.278764224,1,0.278764224
11,1,0.261221863,1.973846154,0.51561177
12,1,0.54387813,1.867842122,1.015878481
13,1,0.414014042,1.820719016,0.75380324
20,3.686671863,0.152844404,1,0.041458641
21,2.829059829,0.713982451,2.572205438,0.649158962
22,3.225169848,0.235451593,2.135118868,0.155873074
23,2.020498266,0.30785218,3.322147651,0.50617732
30,9.795271499,1.183984179,1.021298605,0.12344746
31,19.74615385,0.946622773,1,0.047939603
32,16.92494338,2.130899329,1.10403326,0.139000981
33,8.0884579,0.868107127,2.251886075,0.241687399
40,16.25305274,1.543283386,1.028581476,0.097667357
41,32.99794872,3.237509019,1,0.098112433
42,28.03510191,4.059899867,1.113811428,0.161296466
43,17.99574267,2.664687449,1.691401835,0.250451305
50,6.706157443,0.553773849,1,0.082576923
51,13.10820513,1.00893436,1.009819647,0.077725496
52,9.315917179,0.33504324,1.344585091,0.048357466
53,4.369441816,0.705162477,2.794413771,0.450976536
