strain,stability
1021,lac_stable
2021,lac_stable
2121,tet_stable
3021,bistable
3321,tet_stable
4021,tet_stable
4221,tet_stable
4321,tet_stable
5221,lac_stable
5321,tet_stable
1022,lac_stable
2022,lac_stable
2122,unstable
3022,lac_stable
3322,tet_stable
4022,bistable
4222,lac_stable
4322,tet_stable
5222,unstable
5322,tet_stable
1030,tet_stable
2030,bistable
2130,tet_stable
3030,bistable
3330,tet_stable
4030,bistable
4230,bistable
4330,tet_stable
5230,tet_stable
5330,tet_stable
1032,lac_stable
2032,lac_stable
2132,lac_stable
3032,lac_stable
3332,unstable
4032,bistable
4232,bistable
4332,lac_stable
5232,lac_stable
5332,bistable
1033,lac_stable
2033,lac_stable
2133,lac_stable
3033,unstable
3333,lac_stable
4033,lac_stable
4233,unstable
4333,unstable
5233,lac_stable
5333,lac_stable
1043,bistable
2043,bistable
2143,bistable
3043,bistable
3343,bistable
4043,lac_stable
4243,bistable
4343,bistable
5243,bistable
5343,bistable
1050,bistable
2050,bistable
2150,bistable
3050,bistable
3350,bistable
4050,bistable
4250,bistable
4350,bistable
5250,bistable
5350,bistable
1051,bistable
2051,bistable
2151,bistable
3051,bistable
3351,bistable
4051,bistable
4251,bistable
4351,bistable
5251,bistable
5351,bistable
1052,bistable
2052,bistable
2152,bistable
3052,bistable
3352,bistable
4052,bistable
4252,bistable
4352,tet_stable
5252,bistable
5352,bistable
1053,bistable
2053,bistable
2153,bistable
3053,bistable
3353,bistable
4053,bistable
4253,bistable
4353,bistable
5253,bistable
5353,bistable
